Nome file,Classe,Sottoclasse,Ampiezza del segnale,Durata,Frequenza,Numero di canali,Fase,Frequenza massima interna,Bit Depth,Forma d'onda
0f9867d8-fcf7-40d1-b846-3f7fb8100eb7,Non-Target,Ambient Noise,0.22602582,31.207619047619048,44100,1,-0.06857321,0.0,MPEG Layer III,"(1376256,)"
2b68b3a9-7c0d-4452-bbe5-cc99b5d4fb61,Non-Target,Ambient Noise,0.64648724,31.207619047619048,44100,1,0.0033242758,0.0,MPEG Layer III,"(1376256,)"
2f574049-3325-446c-a8ac-2e5b31e9e32f,Non-Target,Ambient Noise,0.3916755,31.207619047619048,44100,1,-0.03107771,0.0,MPEG Layer III,"(1376256,)"
30679527-fd7a-4cad-8c7d-cb1bcc07604d,Non-Target,Ambient Noise,0.20037651,31.207619047619048,44100,1,0.013213477,0.0,MPEG Layer III,"(1376256,)"
f9652ad2-39f5-41b4-a8e4-89171a864f03,Non-Target,Ambient Noise,0.7536632,31.207619047619048,44100,1,0.050887313,0.0,MPEG Layer III,"(1376256,)"
Bioduck,Non-Target,Antarctic Minke Whale,0.9546509,20.0,1000,1,-0.006500244,266.47238,Signed 16 bit PCM,"(20000,)"
Arnoux-beaked-whales-rogers-1,Non-Target,Arnoux’s Beaked Whale,0.19882202,9.99297052154195,44100,1,-0.03463745,0.0,Signed 16 bit PCM,"(440690,)"
Arnoux-beaked-whales-rogers-2,Non-Target,Arnoux’s Beaked Whale,0.13415527,8.668526077097505,44100,1,-0.014343262,0.0,Signed 16 bit PCM,"(382282,)"
Arnoux-beaked-whales-rogers-3,Non-Target,Arnoux’s Beaked Whale,0.18948364,10.29297052154195,44100,1,-0.18948364,0.0,Signed 16 bit PCM,"(453920,)"
Arnoux-beaked-whales-rogers-4,Non-Target,Arnoux’s Beaked Whale,0.41357422,9.993015873015873,44100,1,-0.03970337,0.0,Signed 16 bit PCM,"(440692,)"
Arnoux-beaked-whales-rogers-5,Non-Target,Arnoux’s Beaked Whale,0.5757446,19.993015873015874,44100,1,-0.022857666,0.0,Signed 16 bit PCM,"(881692,)"
Arnoux-beaked-whales-rogers-6,Non-Target,Arnoux’s Beaked Whale,0.408844,37.24267573696145,44100,1,-0.0014953613,0.0,Signed 16 bit PCM,"(1642402,)"
SanctSound_SB01_01_atlanticcod_20181113T024154Z,Non-Target,Atlantic cod,0.31607056,5.0,48000,1,-3.0517578e-05,3914.5205,Signed 16 bit PCM,"(240000,)"
Croaker,Non-Target,Atlantic croaker,0.83251953,11.00625850340136,44100,2,0.0,0.0,Signed 16 bit PCM,"(485376,)"
61025001,Non-Target,Atlantic Spotted Dolphin,0.3330078,3.527995444191344,43900,1,-0.075683594,0.0,Signed 16 bit PCM,"(154879,)"
61025002,Non-Target,Atlantic Spotted Dolphin,0.2578125,3.527995444191344,43900,1,-0.0053710938,0.0,Signed 16 bit PCM,"(154879,)"
61025003,Non-Target,Atlantic Spotted Dolphin,0.2529297,3.527995444191344,43900,1,0.022460938,0.0,Signed 16 bit PCM,"(154879,)"
61025004,Non-Target,Atlantic Spotted Dolphin,0.16748047,1.763986332574032,43900,1,-0.016113281,0.0,Signed 16 bit PCM,"(77439,)"
61025006,Non-Target,Atlantic Spotted Dolphin,0.5371094,1.763986332574032,43900,1,-0.032714844,0.0,Signed 16 bit PCM,"(77439,)"
61025007,Non-Target,Atlantic Spotted Dolphin,0.23535156,1.763986332574032,43900,1,-0.013183594,0.0,Signed 16 bit PCM,"(77439,)"
61025008,Non-Target,Atlantic Spotted Dolphin,0.5341797,3.527995444191344,43900,1,0.026367188,0.0,Signed 16 bit PCM,"(154879,)"
61025009,Non-Target,Atlantic Spotted Dolphin,0.10888672,2.646013667425968,43900,1,0.03564453,0.0,Signed 16 bit PCM,"(116160,)"
6102500A,Non-Target,Atlantic Spotted Dolphin,0.107421875,3.527995444191344,43900,1,0.020996094,0.0,Signed 16 bit PCM,"(154879,)"
6102500B,Non-Target,Atlantic Spotted Dolphin,0.029785156,1.2227062706270626,60600,1,0.001953125,0.0,Signed 16 bit PCM,"(74096,)"
6102500C,Non-Target,Atlantic Spotted Dolphin,0.011230469,1.5207920792079208,60600,1,0.0009765625,0.0,Signed 16 bit PCM,"(92160,)"
6102500D,Non-Target,Atlantic Spotted Dolphin,0.033203125,1.2324752475247525,60600,1,0.0014648438,0.0,Signed 16 bit PCM,"(74688,)"
6102500E,Non-Target,Atlantic Spotted Dolphin,0.018554688,1.116831683168317,60600,1,0.0009765625,0.0,Signed 16 bit PCM,"(67680,)"
6102500F,Non-Target,Atlantic Spotted Dolphin,0.0126953125,1.1664686468646865,60600,1,0.0014648438,0.0,Signed 16 bit PCM,"(70688,)"
6102500G,Non-Target,Atlantic Spotted Dolphin,0.009277344,1.4574257425742574,60600,1,0.0014648438,0.0,Signed 16 bit PCM,"(88320,)"
6102500H,Non-Target,Atlantic Spotted Dolphin,0.017578125,1.0967656765676568,60600,1,0.0014648438,0.0,Signed 16 bit PCM,"(66464,)"
6102500I,Non-Target,Atlantic Spotted Dolphin,0.024902344,1.7937293729372936,60600,1,0.0043945312,0.0,Signed 16 bit PCM,"(108700,)"
6102500J,Non-Target,Atlantic Spotted Dolphin,0.020996094,1.4621782178217821,60600,1,0.0024414062,0.0,Signed 16 bit PCM,"(88608,)"
6102500K,Non-Target,Atlantic Spotted Dolphin,0.037597656,0.8645544554455445,60600,1,-0.00048828125,0.0,Signed 16 bit PCM,"(52392,)"
6102500M,Non-Target,Atlantic Spotted Dolphin,0.03564453,0.9821782178217822,60600,1,0.0014648438,0.0,Signed 16 bit PCM,"(59520,)"
6102500N,Non-Target,Atlantic Spotted Dolphin,0.036132812,1.8723267326732673,60600,1,0.0009765625,0.0,Signed 16 bit PCM,"(113463,)"
6102500O,Non-Target,Atlantic Spotted Dolphin,0.040039062,1.33016501650165,60600,1,0.0014648438,0.0,Signed 16 bit PCM,"(80608,)"
6102500P,Non-Target,Atlantic Spotted Dolphin,0.013183594,1.3526072607260726,60600,1,0.0009765625,0.0,Signed 16 bit PCM,"(81968,)"
6102500Q,Non-Target,Atlantic Spotted Dolphin,0.0126953125,1.451089108910891,60600,1,0.0014648438,0.0,Signed 16 bit PCM,"(87936,)"
6102500R,Non-Target,Atlantic Spotted Dolphin,0.0068359375,58.62316831683168,60600,1,0.001953125,0.0,Signed 16 bit PCM,"(3552564,)"
61026001,Non-Target,Atlantic Spotted Dolphin,0.3154297,1.9211875,80000,1,-0.0024414062,0.0,Signed 16 bit PCM,"(153695,)"
61026002,Non-Target,Atlantic Spotted Dolphin,0.2602539,1.7978125,80000,1,-0.013671875,0.0,Signed 16 bit PCM,"(143825,)"
61026004,Non-Target,Atlantic Spotted Dolphin,0.61572266,1.6121875,80000,1,0.0107421875,0.0,Signed 16 bit PCM,"(128975,)"
6102600F,Non-Target,Atlantic Spotted Dolphin,0.36328125,1.665125,80000,1,0.011230469,0.0,Signed 16 bit PCM,"(133210,)"
6102600G,Non-Target,Atlantic Spotted Dolphin,0.36816406,1.682425,80000,1,0.0078125,0.0,Signed 16 bit PCM,"(134594,)"
