Nome file,Classe,Sottoclasse,Ampiezza del segnale,Durata,Frequenza,Numero di canali,Fase,Frequenza massima interna,Bit Depth,Forma d'onda
0f9867d8-fcf7-40d1-b846-3f7fb8100eb7,Non-Target,Ambient Noise,1.0,31.207625,96000,1,-0.28952026,0.0,Signed 16 bit PCM,"(2995932,)"
2b68b3a9-7c0d-4452-bbe5-cc99b5d4fb61,Non-Target,Ambient Noise,0.9814148,31.207625,96000,1,0.0050354004,0.0,Signed 16 bit PCM,"(2995932,)"
2f574049-3325-446c-a8ac-2e5b31e9e32f,Non-Target,Ambient Noise,0.9985962,31.207625,96000,1,-0.07623291,0.0,Signed 16 bit PCM,"(2995932,)"
30679527-fd7a-4cad-8c7d-cb1bcc07604d,Non-Target,Ambient Noise,1.0,31.207625,96000,1,0.067596436,0.0,Signed 16 bit PCM,"(2995932,)"
f9652ad2-39f5-41b4-a8e4-89171a864f03,Non-Target,Ambient Noise,1.0,31.207625,96000,1,0.06454468,0.0,Signed 16 bit PCM,"(2995932,)"
Bioduck,Non-Target,Antarctic Minke Whale,1.0,20.0,96000,1,-0.0063476562,0.0,Signed 16 bit PCM,"(1920000,)"
Arnoux-beaked-whales-rogers-1,Non-Target,Arnoux’s Beaked Whale,0.9999695,9.992979166666666,96000,1,-0.18518066,0.0,Signed 16 bit PCM,"(959326,)"
Arnoux-beaked-whales-rogers-2,Non-Target,Arnoux’s Beaked Whale,0.99557495,8.66853125,96000,1,-0.13571167,0.0,Signed 16 bit PCM,"(832179,)"
Arnoux-beaked-whales-rogers-3,Non-Target,Arnoux’s Beaked Whale,1.0,10.292979166666667,96000,1,-0.9468384,0.0,Signed 16 bit PCM,"(988126,)"
Arnoux-beaked-whales-rogers-4,Non-Target,Arnoux’s Beaked Whale,0.9989624,9.993020833333333,96000,1,-0.09164429,0.0,Signed 16 bit PCM,"(959330,)"
Arnoux-beaked-whales-rogers-5,Non-Target,Arnoux’s Beaked Whale,1.0,19.993020833333333,96000,1,-0.034729004,0.0,Signed 16 bit PCM,"(1919330,)"
Arnoux-beaked-whales-rogers-6,Non-Target,Arnoux’s Beaked Whale,1.0,37.242677083333334,96000,1,-0.0024414062,0.0,Signed 16 bit PCM,"(3575297,)"
SanctSound_SB01_01_atlanticcod_20181113T024154Z,Non-Target,Atlantic cod,0.9999695,5.0,96000,1,-0.00012207031,0.0,Signed 16 bit PCM,"(480000,)"
Croaker,Non-Target,Atlantic croaker,0.99993896,11.006260416666667,96000,1,-3.0517578e-05,0.0,Signed 16 bit PCM,"(1056601,)"
61025001,Non-Target,Atlantic Spotted Dolphin,1.0,3.528,96000,1,-0.21469116,0.0,Signed 16 bit PCM,"(338688,)"
61025002,Non-Target,Atlantic Spotted Dolphin,1.0,3.528,96000,1,-0.019592285,0.0,Signed 16 bit PCM,"(338688,)"
61025003,Non-Target,Atlantic Spotted Dolphin,1.0,3.528,96000,1,0.08352661,0.0,Signed 16 bit PCM,"(338688,)"
61025004,Non-Target,Atlantic Spotted Dolphin,1.0,1.7639895833333334,96000,1,-0.092681885,0.0,Signed 16 bit PCM,"(169343,)"
61025006,Non-Target,Atlantic Spotted Dolphin,0.9999695,1.7639895833333334,96000,1,-0.05795288,0.0,Signed 16 bit PCM,"(169343,)"
61025007,Non-Target,Atlantic Spotted Dolphin,0.99679565,1.7639895833333334,96000,1,-0.05368042,0.0,Signed 16 bit PCM,"(169343,)"
61025008,Non-Target,Atlantic Spotted Dolphin,0.9999695,3.528,96000,1,0.045013428,0.0,Signed 16 bit PCM,"(338688,)"
61025009,Non-Target,Atlantic Spotted Dolphin,1.0,2.6460208333333335,96000,1,0.31088257,0.0,Signed 16 bit PCM,"(254018,)"
6102500A,Non-Target,Atlantic Spotted Dolphin,1.0,3.528,96000,1,0.17687988,0.0,Signed 16 bit PCM,"(338688,)"
6102500B,Non-Target,Atlantic Spotted Dolphin,0.973999,1.2227083333333333,96000,1,0.06808472,0.0,Signed 16 bit PCM,"(117380,)"
6102500C,Non-Target,Atlantic Spotted Dolphin,0.9999695,1.5208020833333333,96000,1,0.08615112,0.0,Signed 16 bit PCM,"(145997,)"
6102500D,Non-Target,Atlantic Spotted Dolphin,0.96658325,1.2324791666666666,96000,1,0.0463562,0.0,Signed 16 bit PCM,"(118318,)"
6102500E,Non-Target,Atlantic Spotted Dolphin,0.9999695,1.1168333333333333,96000,1,0.051849365,0.0,Signed 16 bit PCM,"(107216,)"
6102500F,Non-Target,Atlantic Spotted Dolphin,0.9999695,1.16646875,96000,1,0.101135254,0.0,Signed 16 bit PCM,"(111981,)"
6102500G,Non-Target,Atlantic Spotted Dolphin,0.9999695,1.4574270833333334,96000,1,0.14685059,0.0,Signed 16 bit PCM,"(139913,)"
6102500H,Non-Target,Atlantic Spotted Dolphin,0.9999695,1.0967708333333333,96000,1,0.07791138,0.0,Signed 16 bit PCM,"(105290,)"
6102500I,Non-Target,Atlantic Spotted Dolphin,1.0,1.7937395833333334,96000,1,0.15618896,0.0,Signed 16 bit PCM,"(172199,)"
