Nome file,Classe,Sottoclasse,Ampiezza del segnale,Durata,Frequenza,Numero di canali,Fase,Frequenza massima interna,Bit Depth,Forma d'onda
0f9867d8-fcf7-40d1-b846-3f7fb8100eb7,Non-Target,Ambient Noise,1.0,31.207619047619048,44100,1,-0.3034967,0.0,Signed 16 bit PCM,"(1376256,)"
2b68b3a9-7c0d-4452-bbe5-cc99b5d4fb61,Non-Target,Ambient Noise,1.0,31.207619047619048,44100,1,0.0050979466,0.0,Signed 16 bit PCM,"(1376256,)"
2f574049-3325-446c-a8ac-2e5b31e9e32f,Non-Target,Ambient Noise,1.0,31.207619047619048,44100,1,-0.079398476,0.0,Signed 16 bit PCM,"(1376256,)"
30679527-fd7a-4cad-8c7d-cb1bcc07604d,Non-Target,Ambient Noise,1.0,31.207619047619048,44100,1,0.065793484,0.0,Signed 16 bit PCM,"(1376256,)"
f9652ad2-39f5-41b4-a8e4-89171a864f03,Non-Target,Ambient Noise,1.0,31.207619047619048,44100,1,0.06749807,0.0,Signed 16 bit PCM,"(1376256,)"
Bioduck,Non-Target,Antarctic Minke Whale,1.0,20.0,1000,1,-0.0068090274,266.47238,Signed 16 bit PCM,"(20000,)"
Arnoux-beaked-whales-rogers-1,Non-Target,Arnoux’s Beaked Whale,1.0,9.99297052154195,44100,1,-0.17421335,0.0,Signed 16 bit PCM,"(440690,)"
Arnoux-beaked-whales-rogers-2,Non-Target,Arnoux’s Beaked Whale,1.0,8.668526077097505,44100,1,-0.10691538,0.0,Signed 16 bit PCM,"(382282,)"
Arnoux-beaked-whales-rogers-3,Non-Target,Arnoux’s Beaked Whale,1.0,10.29297052154195,44100,1,-1.0,0.0,Signed 16 bit PCM,"(453920,)"
Arnoux-beaked-whales-rogers-4,Non-Target,Arnoux’s Beaked Whale,1.0,9.993015873015873,44100,1,-0.09600059,0.0,Signed 16 bit PCM,"(440692,)"
Arnoux-beaked-whales-rogers-5,Non-Target,Arnoux’s Beaked Whale,1.0,19.993015873015874,44100,1,-0.03970105,0.0,Signed 16 bit PCM,"(881692,)"
Arnoux-beaked-whales-rogers-6,Non-Target,Arnoux’s Beaked Whale,1.0,37.24267573696145,44100,1,-0.0036575352,0.0,Signed 16 bit PCM,"(1642402,)"
SanctSound_SB01_01_atlanticcod_20181113T024154Z,Non-Target,Atlantic cod,1.0,5.0,48000,1,-9.6553056e-05,3914.5205,Signed 16 bit PCM,"(240000,)"
Croaker,Non-Target,Atlantic croaker,1.0,11.00625850340136,44100,1,0.0,0.0,Signed 16 bit PCM,"(485376,)"
61025001,Non-Target,Atlantic Spotted Dolphin,1.0,3.527995444191344,43900,1,-0.22727273,0.0,Signed 16 bit PCM,"(154879,)"
61025002,Non-Target,Atlantic Spotted Dolphin,1.0,3.527995444191344,43900,1,-0.020833334,0.0,Signed 16 bit PCM,"(154879,)"
61025003,Non-Target,Atlantic Spotted Dolphin,1.0,3.527995444191344,43900,1,0.08880309,0.0,Signed 16 bit PCM,"(154879,)"
61025004,Non-Target,Atlantic Spotted Dolphin,1.0,1.763986332574032,43900,1,-0.09620991,0.0,Signed 16 bit PCM,"(77439,)"
61025006,Non-Target,Atlantic Spotted Dolphin,1.0,1.763986332574032,43900,1,-0.060909092,0.0,Signed 16 bit PCM,"(77439,)"
61025007,Non-Target,Atlantic Spotted Dolphin,1.0,1.763986332574032,43900,1,-0.056016598,0.0,Signed 16 bit PCM,"(77439,)"
61025008,Non-Target,Atlantic Spotted Dolphin,1.0,3.527995444191344,43900,1,0.049360145,0.0,Signed 16 bit PCM,"(154879,)"
61025009,Non-Target,Atlantic Spotted Dolphin,1.0,2.646013667425968,43900,1,0.32735425,0.0,Signed 16 bit PCM,"(116160,)"
6102500A,Non-Target,Atlantic Spotted Dolphin,1.0,3.527995444191344,43900,1,0.19545455,0.0,Signed 16 bit PCM,"(154879,)"
6102500B,Non-Target,Atlantic Spotted Dolphin,1.0,1.2227062706270626,60600,1,0.06557377,0.0,Signed 16 bit PCM,"(74096,)"
6102500C,Non-Target,Atlantic Spotted Dolphin,1.0,1.5207920792079208,60600,1,0.08695652,0.0,Signed 16 bit PCM,"(92160,)"
6102500D,Non-Target,Atlantic Spotted Dolphin,1.0,1.2324752475247525,60600,1,0.04411765,0.0,Signed 16 bit PCM,"(74688,)"
6102500E,Non-Target,Atlantic Spotted Dolphin,1.0,1.116831683168317,60600,1,0.05263158,0.0,Signed 16 bit PCM,"(67680,)"
6102500F,Non-Target,Atlantic Spotted Dolphin,1.0,1.1664686468646865,60600,1,0.115384616,0.0,Signed 16 bit PCM,"(70688,)"
6102500G,Non-Target,Atlantic Spotted Dolphin,1.0,1.4574257425742574,60600,1,0.15789473,0.0,Signed 16 bit PCM,"(88320,)"
6102500H,Non-Target,Atlantic Spotted Dolphin,1.0,1.0967656765676568,60600,1,0.083333336,0.0,Signed 16 bit PCM,"(66464,)"
