Nome file,Classe,Sottoclasse,Durata
0f9867d8-fcf7-40d1-b846-3f7fb8100eb7_seg1,Non-Target,Ambient Noise,4000
0f9867d8-fcf7-40d1-b846-3f7fb8100eb7_seg2,Non-Target,Ambient Noise,4000
0f9867d8-fcf7-40d1-b846-3f7fb8100eb7_seg3,Non-Target,Ambient Noise,4000
0f9867d8-fcf7-40d1-b846-3f7fb8100eb7_seg4,Non-Target,Ambient Noise,4000
0f9867d8-fcf7-40d1-b846-3f7fb8100eb7_seg5,Non-Target,Ambient Noise,4000
0f9867d8-fcf7-40d1-b846-3f7fb8100eb7_seg6,Non-Target,Ambient Noise,4000
0f9867d8-fcf7-40d1-b846-3f7fb8100eb7_seg7,Non-Target,Ambient Noise,4000
0f9867d8-fcf7-40d1-b846-3f7fb8100eb7_seg8,Non-Target,Ambient Noise,4000
2b68b3a9-7c0d-4452-bbe5-cc99b5d4fb61_seg1,Non-Target,Ambient Noise,4000
2b68b3a9-7c0d-4452-bbe5-cc99b5d4fb61_seg2,Non-Target,Ambient Noise,4000
2b68b3a9-7c0d-4452-bbe5-cc99b5d4fb61_seg3,Non-Target,Ambient Noise,4000
2b68b3a9-7c0d-4452-bbe5-cc99b5d4fb61_seg4,Non-Target,Ambient Noise,4000
2b68b3a9-7c0d-4452-bbe5-cc99b5d4fb61_seg5,Non-Target,Ambient Noise,4000
2b68b3a9-7c0d-4452-bbe5-cc99b5d4fb61_seg6,Non-Target,Ambient Noise,4000
2b68b3a9-7c0d-4452-bbe5-cc99b5d4fb61_seg7,Non-Target,Ambient Noise,4000
2b68b3a9-7c0d-4452-bbe5-cc99b5d4fb61_seg8,Non-Target,Ambient Noise,4000
2f574049-3325-446c-a8ac-2e5b31e9e32f_seg1,Non-Target,Ambient Noise,4000
2f574049-3325-446c-a8ac-2e5b31e9e32f_seg2,Non-Target,Ambient Noise,4000
2f574049-3325-446c-a8ac-2e5b31e9e32f_seg3,Non-Target,Ambient Noise,4000
2f574049-3325-446c-a8ac-2e5b31e9e32f_seg4,Non-Target,Ambient Noise,4000
2f574049-3325-446c-a8ac-2e5b31e9e32f_seg5,Non-Target,Ambient Noise,4000
2f574049-3325-446c-a8ac-2e5b31e9e32f_seg6,Non-Target,Ambient Noise,4000
2f574049-3325-446c-a8ac-2e5b31e9e32f_seg7,Non-Target,Ambient Noise,4000
2f574049-3325-446c-a8ac-2e5b31e9e32f_seg8,Non-Target,Ambient Noise,4000
30679527-fd7a-4cad-8c7d-cb1bcc07604d_seg1,Non-Target,Ambient Noise,4000
30679527-fd7a-4cad-8c7d-cb1bcc07604d_seg2,Non-Target,Ambient Noise,4000
30679527-fd7a-4cad-8c7d-cb1bcc07604d_seg3,Non-Target,Ambient Noise,4000
30679527-fd7a-4cad-8c7d-cb1bcc07604d_seg4,Non-Target,Ambient Noise,4000
30679527-fd7a-4cad-8c7d-cb1bcc07604d_seg5,Non-Target,Ambient Noise,4000
30679527-fd7a-4cad-8c7d-cb1bcc07604d_seg6,Non-Target,Ambient Noise,4000
30679527-fd7a-4cad-8c7d-cb1bcc07604d_seg7,Non-Target,Ambient Noise,4000
30679527-fd7a-4cad-8c7d-cb1bcc07604d_seg8,Non-Target,Ambient Noise,4000
f9652ad2-39f5-41b4-a8e4-89171a864f03_seg1,Non-Target,Ambient Noise,4000
f9652ad2-39f5-41b4-a8e4-89171a864f03_seg2,Non-Target,Ambient Noise,4000
f9652ad2-39f5-41b4-a8e4-89171a864f03_seg3,Non-Target,Ambient Noise,4000
f9652ad2-39f5-41b4-a8e4-89171a864f03_seg4,Non-Target,Ambient Noise,4000
f9652ad2-39f5-41b4-a8e4-89171a864f03_seg5,Non-Target,Ambient Noise,4000
f9652ad2-39f5-41b4-a8e4-89171a864f03_seg6,Non-Target,Ambient Noise,4000
f9652ad2-39f5-41b4-a8e4-89171a864f03_seg7,Non-Target,Ambient Noise,4000
f9652ad2-39f5-41b4-a8e4-89171a864f03_seg8,Non-Target,Ambient Noise,4000
Bioduck_seg1,Non-Target,Antarctic Minke Whale,4000
Bioduck_seg2,Non-Target,Antarctic Minke Whale,4000
Bioduck_seg3,Non-Target,Antarctic Minke Whale,4000
Bioduck_seg4,Non-Target,Antarctic Minke Whale,4000
Bioduck_seg5,Non-Target,Antarctic Minke Whale,4000
Arnoux-beaked-whales-rogers-1_seg1,Non-Target,Arnoux’s Beaked Whale,4000
Arnoux-beaked-whales-rogers-1_seg2,Non-Target,Arnoux’s Beaked Whale,4000
Arnoux-beaked-whales-rogers-1_seg3,Non-Target,Arnoux’s Beaked Whale,4000
Arnoux-beaked-whales-rogers-2_seg1,Non-Target,Arnoux’s Beaked Whale,4000
Arnoux-beaked-whales-rogers-2_seg2,Non-Target,Arnoux’s Beaked Whale,4000
Arnoux-beaked-whales-rogers-2_seg3,Non-Target,Arnoux’s Beaked Whale,4000
Arnoux-beaked-whales-rogers-3_seg1,Non-Target,Arnoux’s Beaked Whale,4000
Arnoux-beaked-whales-rogers-3_seg2,Non-Target,Arnoux’s Beaked Whale,4000
Arnoux-beaked-whales-rogers-3_seg3,Non-Target,Arnoux’s Beaked Whale,4000
Arnoux-beaked-whales-rogers-4_seg1,Non-Target,Arnoux’s Beaked Whale,4000
Arnoux-beaked-whales-rogers-4_seg2,Non-Target,Arnoux’s Beaked Whale,4000
Arnoux-beaked-whales-rogers-4_seg3,Non-Target,Arnoux’s Beaked Whale,4000
Arnoux-beaked-whales-rogers-5_seg1,Non-Target,Arnoux’s Beaked Whale,4000
Arnoux-beaked-whales-rogers-5_seg2,Non-Target,Arnoux’s Beaked Whale,4000
Arnoux-beaked-whales-rogers-5_seg3,Non-Target,Arnoux’s Beaked Whale,4000
Arnoux-beaked-whales-rogers-5_seg4,Non-Target,Arnoux’s Beaked Whale,4000
Arnoux-beaked-whales-rogers-5_seg5,Non-Target,Arnoux’s Beaked Whale,4000
Arnoux-beaked-whales-rogers-6_seg1,Non-Target,Arnoux’s Beaked Whale,4000
Arnoux-beaked-whales-rogers-6_seg10,Non-Target,Arnoux’s Beaked Whale,4000
Arnoux-beaked-whales-rogers-6_seg2,Non-Target,Arnoux’s Beaked Whale,4000
Arnoux-beaked-whales-rogers-6_seg3,Non-Target,Arnoux’s Beaked Whale,4000
Arnoux-beaked-whales-rogers-6_seg4,Non-Target,Arnoux’s Beaked Whale,4000
Arnoux-beaked-whales-rogers-6_seg5,Non-Target,Arnoux’s Beaked Whale,4000
Arnoux-beaked-whales-rogers-6_seg6,Non-Target,Arnoux’s Beaked Whale,4000
