Nome file,Classe,Sottoclasse,Durata,Numero di segmento,File di Provenienza
0f9867d8-fcf7-40d1-b846-3f7fb8100eb7_seg1.wav,Non-Target,Ambient Noise,4.0,1,0f9867d8-fcf7-40d1-b846-3f7fb8100eb7.wav
0f9867d8-fcf7-40d1-b846-3f7fb8100eb7_seg2.wav,Non-Target,Ambient Noise,4.0,2,0f9867d8-fcf7-40d1-b846-3f7fb8100eb7.wav
0f9867d8-fcf7-40d1-b846-3f7fb8100eb7_seg3.wav,Non-Target,Ambient Noise,4.0,3,0f9867d8-fcf7-40d1-b846-3f7fb8100eb7.wav
0f9867d8-fcf7-40d1-b846-3f7fb8100eb7_seg4.wav,Non-Target,Ambient Noise,4.0,4,0f9867d8-fcf7-40d1-b846-3f7fb8100eb7.wav
0f9867d8-fcf7-40d1-b846-3f7fb8100eb7_seg5.wav,Non-Target,Ambient Noise,4.0,5,0f9867d8-fcf7-40d1-b846-3f7fb8100eb7.wav
0f9867d8-fcf7-40d1-b846-3f7fb8100eb7_seg6.wav,Non-Target,Ambient Noise,4.0,6,0f9867d8-fcf7-40d1-b846-3f7fb8100eb7.wav
0f9867d8-fcf7-40d1-b846-3f7fb8100eb7_seg7.wav,Non-Target,Ambient Noise,4.0,7,0f9867d8-fcf7-40d1-b846-3f7fb8100eb7.wav
0f9867d8-fcf7-40d1-b846-3f7fb8100eb7_seg8.wav,Non-Target,Ambient Noise,3.207625,8,0f9867d8-fcf7-40d1-b846-3f7fb8100eb7.wav
2b68b3a9-7c0d-4452-bbe5-cc99b5d4fb61_seg1.wav,Non-Target,Ambient Noise,4.0,1,2b68b3a9-7c0d-4452-bbe5-cc99b5d4fb61.wav
2b68b3a9-7c0d-4452-bbe5-cc99b5d4fb61_seg2.wav,Non-Target,Ambient Noise,4.0,2,2b68b3a9-7c0d-4452-bbe5-cc99b5d4fb61.wav
2b68b3a9-7c0d-4452-bbe5-cc99b5d4fb61_seg3.wav,Non-Target,Ambient Noise,4.0,3,2b68b3a9-7c0d-4452-bbe5-cc99b5d4fb61.wav
2b68b3a9-7c0d-4452-bbe5-cc99b5d4fb61_seg4.wav,Non-Target,Ambient Noise,4.0,4,2b68b3a9-7c0d-4452-bbe5-cc99b5d4fb61.wav
2b68b3a9-7c0d-4452-bbe5-cc99b5d4fb61_seg5.wav,Non-Target,Ambient Noise,4.0,5,2b68b3a9-7c0d-4452-bbe5-cc99b5d4fb61.wav
2b68b3a9-7c0d-4452-bbe5-cc99b5d4fb61_seg6.wav,Non-Target,Ambient Noise,4.0,6,2b68b3a9-7c0d-4452-bbe5-cc99b5d4fb61.wav
2b68b3a9-7c0d-4452-bbe5-cc99b5d4fb61_seg7.wav,Non-Target,Ambient Noise,4.0,7,2b68b3a9-7c0d-4452-bbe5-cc99b5d4fb61.wav
2b68b3a9-7c0d-4452-bbe5-cc99b5d4fb61_seg8.wav,Non-Target,Ambient Noise,3.207625,8,2b68b3a9-7c0d-4452-bbe5-cc99b5d4fb61.wav
2f574049-3325-446c-a8ac-2e5b31e9e32f_seg1.wav,Non-Target,Ambient Noise,4.0,1,2f574049-3325-446c-a8ac-2e5b31e9e32f.wav
2f574049-3325-446c-a8ac-2e5b31e9e32f_seg2.wav,Non-Target,Ambient Noise,4.0,2,2f574049-3325-446c-a8ac-2e5b31e9e32f.wav
2f574049-3325-446c-a8ac-2e5b31e9e32f_seg3.wav,Non-Target,Ambient Noise,4.0,3,2f574049-3325-446c-a8ac-2e5b31e9e32f.wav
2f574049-3325-446c-a8ac-2e5b31e9e32f_seg4.wav,Non-Target,Ambient Noise,4.0,4,2f574049-3325-446c-a8ac-2e5b31e9e32f.wav
2f574049-3325-446c-a8ac-2e5b31e9e32f_seg5.wav,Non-Target,Ambient Noise,4.0,5,2f574049-3325-446c-a8ac-2e5b31e9e32f.wav
2f574049-3325-446c-a8ac-2e5b31e9e32f_seg6.wav,Non-Target,Ambient Noise,4.0,6,2f574049-3325-446c-a8ac-2e5b31e9e32f.wav
2f574049-3325-446c-a8ac-2e5b31e9e32f_seg7.wav,Non-Target,Ambient Noise,4.0,7,2f574049-3325-446c-a8ac-2e5b31e9e32f.wav
2f574049-3325-446c-a8ac-2e5b31e9e32f_seg8.wav,Non-Target,Ambient Noise,3.207625,8,2f574049-3325-446c-a8ac-2e5b31e9e32f.wav
30679527-fd7a-4cad-8c7d-cb1bcc07604d_seg1.wav,Non-Target,Ambient Noise,4.0,1,30679527-fd7a-4cad-8c7d-cb1bcc07604d.wav
30679527-fd7a-4cad-8c7d-cb1bcc07604d_seg2.wav,Non-Target,Ambient Noise,4.0,2,30679527-fd7a-4cad-8c7d-cb1bcc07604d.wav
30679527-fd7a-4cad-8c7d-cb1bcc07604d_seg3.wav,Non-Target,Ambient Noise,4.0,3,30679527-fd7a-4cad-8c7d-cb1bcc07604d.wav
30679527-fd7a-4cad-8c7d-cb1bcc07604d_seg4.wav,Non-Target,Ambient Noise,4.0,4,30679527-fd7a-4cad-8c7d-cb1bcc07604d.wav
30679527-fd7a-4cad-8c7d-cb1bcc07604d_seg5.wav,Non-Target,Ambient Noise,4.0,5,30679527-fd7a-4cad-8c7d-cb1bcc07604d.wav
30679527-fd7a-4cad-8c7d-cb1bcc07604d_seg6.wav,Non-Target,Ambient Noise,4.0,6,30679527-fd7a-4cad-8c7d-cb1bcc07604d.wav
30679527-fd7a-4cad-8c7d-cb1bcc07604d_seg7.wav,Non-Target,Ambient Noise,4.0,7,30679527-fd7a-4cad-8c7d-cb1bcc07604d.wav
30679527-fd7a-4cad-8c7d-cb1bcc07604d_seg8.wav,Non-Target,Ambient Noise,3.207625,8,30679527-fd7a-4cad-8c7d-cb1bcc07604d.wav
f9652ad2-39f5-41b4-a8e4-89171a864f03_seg1.wav,Non-Target,Ambient Noise,4.0,1,f9652ad2-39f5-41b4-a8e4-89171a864f03.wav
f9652ad2-39f5-41b4-a8e4-89171a864f03_seg2.wav,Non-Target,Ambient Noise,4.0,2,f9652ad2-39f5-41b4-a8e4-89171a864f03.wav
f9652ad2-39f5-41b4-a8e4-89171a864f03_seg3.wav,Non-Target,Ambient Noise,4.0,3,f9652ad2-39f5-41b4-a8e4-89171a864f03.wav
f9652ad2-39f5-41b4-a8e4-89171a864f03_seg4.wav,Non-Target,Ambient Noise,4.0,4,f9652ad2-39f5-41b4-a8e4-89171a864f03.wav
f9652ad2-39f5-41b4-a8e4-89171a864f03_seg5.wav,Non-Target,Ambient Noise,4.0,5,f9652ad2-39f5-41b4-a8e4-89171a864f03.wav
f9652ad2-39f5-41b4-a8e4-89171a864f03_seg6.wav,Non-Target,Ambient Noise,4.0,6,f9652ad2-39f5-41b4-a8e4-89171a864f03.wav
f9652ad2-39f5-41b4-a8e4-89171a864f03_seg7.wav,Non-Target,Ambient Noise,4.0,7,f9652ad2-39f5-41b4-a8e4-89171a864f03.wav
f9652ad2-39f5-41b4-a8e4-89171a864f03_seg8.wav,Non-Target,Ambient Noise,3.207625,8,f9652ad2-39f5-41b4-a8e4-89171a864f03.wav
Bioduck_seg1.wav,Non-Target,Antarctic Minke Whale,4.0,1,Bioduck.wav
Bioduck_seg2.wav,Non-Target,Antarctic Minke Whale,4.0,2,Bioduck.wav
Bioduck_seg3.wav,Non-Target,Antarctic Minke Whale,4.0,3,Bioduck.wav
Bioduck_seg4.wav,Non-Target,Antarctic Minke Whale,4.0,4,Bioduck.wav
Bioduck_seg5.wav,Non-Target,Antarctic Minke Whale,4.0,5,Bioduck.wav
